Unit,AbstractUnit,Role,TestClass,PhoneticScore,Occurrences,BestContextDimension,BestContextCategory,BestContextStrength,BestContextScore,TopSymbol,TopSite,TopRegion,SemanticOptions,NextEmpiricalTest,ExampleTexts
240-482,A02-R16,PrimeEntityFiller,StrongOnomasticAnchor,0.664,8,Site,Harappa,Strong,0.859,Unknown:5; Bull:2; Elephant:1,Harappa:7; Mohenjo-daro:1,Inter-Riverine:7; Lower Indus:1,proper name; office/title; lineage or clan; place; authority formula; regional or institutional name,compare all 240-482 occurrences inside and outside Harappa; test regional/administrative value,M-280@Mohenjo-daro/Elephant; H-806@Harappa/Unknown; H-807@Harappa/Unknown; H-808@Harappa/Unknown; H-1130@Harappa/Unknown
235-840-032,M01-R10-A07,PrimeEntityFiller,StrongOnomasticAnchor,0.6,2,SemanticFrame,PrimeEntitySealFormula,Moderate,0.729,Elephant:1; Bull:1,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,collect more context for 235-840-032; keep phonetic value unassigned,M-1152@Mohenjo-daro/Elephant; H-1048@Harappa/Bull
235-222,M01-R31,PrimeEntityFiller,StrongOnomasticAnchor,0.623,3,Symbol,Bull,Moderate,0.594,Bull:3,Chanhu-daro:2; Unknown:1,Lower Indus:2; Other:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,inspect seal images for all 235-222 occurrences with Bull; test emblem-linked reading,C-53@Chanhu-daro/Bull; C-58@Chanhu-daro/Bull; -@Unknown/Bull
176,R02,PrimeEntityFiller,StrongOnomasticAnchor,0.79,5,Site,Mohenjo-daro,Moderate,0.582,Bull:4; Gaur:1,Mohenjo-daro:4; Lothal:1,Lower Indus:4; Gujarat/Kutch:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,compare all 176 occurrences inside and outside Mohenjo-daro; test regional/administrative value,L-46@Lothal/Gaur; M-127@Mohenjo-daro/Bull; M-963@Mohenjo-daro/Bull; M-1755@Mohenjo-daro/Bull; M-15@Mohenjo-daro/Bull
590-390,A08-M02,PrimeEntityFiller,StrongOnomasticAnchor,0.737,3,Material,Steatite,Moderate,0.566,Bull:2; Unknown:1,Dholavira:1; Mohenjo-daro:1; Harappa:1,Gujarat/Kutch:1; Lower Indus:1; Inter-Riverine:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,compare artifact function for 590-390 in Steatite; test administrative/object-class value,-@Dholavira/Bull; M-851@Mohenjo-daro/Bull; H-1692@Harappa/Unknown
032-220,A07-A09,PrimeEntityFiller,StrongOnomasticAnchor,0.757,2,Symbol,Bull,Moderate,0.518,Bull:2,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,inspect seal images for all 032-220 occurrences with Bull; test emblem-linked reading,M-1763@Mohenjo-daro/Bull; H-601@Harappa/Bull
240-176,A02-R02,PrimeEntityFiller,StrongOnomasticAnchor,0.608,2,Material,Steatite,Moderate,0.491,Tigr:1; Bull:1,Mohenjo-daro:1; Harappa:1,Lower Indus:1; Inter-Riverine:1,proper name; office/title; lineage or clan; place; authority formula; emblem-linked identity; regional or institutional name,compare artifact function for 240-176 in Steatite; test administrative/object-class value,M-289@Mohenjo-daro/Tigr; H-408@Harappa/Bull
820-060,C01-A06,InitialFiller,CrossFramePhoneticAnchor,0.628,4,SemanticFrame,ClassifierSlotTerminalFormula,Strong,0.901,Bull:3; Composite Bull:1,Mohenjo-daro:2; Kalibangan:1; Unknown:1,Lower Indus:2; Inter-Riverine:1; Other:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 820-060; keep phonetic value unassigned,K-16@Kalibangan/Bull; M-300@Mohenjo-daro/Composite Bull; M-31@Mohenjo-daro/Bull; -@Unknown/Bull
240-740-090,A02-T01-A10,TerminalFiller,CrossFramePhoneticAnchor,0.709,13,Symbol,Cros,Strong,0.871,Cros:7; Bull:2; S590:2; Gavial:2,Mohenjo-daro:7; Harappa:5; Kalibangan:1,Lower Indus:7; Inter-Riverine:6,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 240-740-090 occurrences with Cros; test emblem-linked reading,H-440@Harappa/Bull; K-16@Kalibangan/Bull; H-2055@Harappa/S590; H-2054@Harappa/S590; H-2020@Harappa/Gavial
032,A07,TerminalFiller,CrossFramePhoneticAnchor,0.816,10,Site,Chanhu-daro,Strong,0.853,Bull:6; Unknown:3; Gaur:1,Chanhu-daro:5; Mohenjo-daro:3; Harappa:2,Lower Indus:8; Inter-Riverine:2,title/suffix; terminal formula; object marker; administrative ending,compare all 032 occurrences inside and outside Chanhu-daro; test regional/administrative value,M-165@Mohenjo-daro/Bull; C-53@Chanhu-daro/Bull; C-58@Chanhu-daro/Bull; C-76@Chanhu-daro/Gaur; M-1835@Mohenjo-daro/Bull
140,M07,InitialFiller,CrossFramePhoneticAnchor,0.77,7,Symbol,Goat:4,Strong,0.663,Bull:3; Goat:4:3; Zebu:1,Harappa:4; Mohenjo-daro:3,Inter-Riverine:4; Lower Indus:3,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 140 occurrences with Goat:4; test emblem-linked reading,M-1114@Mohenjo-daro/Zebu; M-708@Mohenjo-daro/Bull; M-51@Mohenjo-daro/Bull; H-1771@Harappa/Goat:4; H-1773@Harappa/Goat:4
240-520,A02-T02,TerminalFiller,CrossFramePhoneticAnchor,0.807,32,Symbol,Bull,Moderate,0.777,Bull:30; Unknown:1; Zebu:1,Harappa:30; Mohenjo-daro:1; Nausharo:1,Inter-Riverine:30; Lower Indus:2,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 240-520 occurrences with Bull; test emblem-linked reading,H-148@Harappa/Unknown; M-1900@Mohenjo-daro/Zebu; Ns-6@Nausharo/Bull; H-252@Harappa/Bull; H-253@Harappa/Bull
240,A02,TerminalFiller,CrossFramePhoneticAnchor,0.791,6,Symbol,Bull,Moderate,0.755,Bull:6,Mohenjo-daro:3; Harappa:2; Lothal:1,Lower Indus:3; Inter-Riverine:2; Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 240 occurrences with Bull; test emblem-linked reading,M-833@Mohenjo-daro/Bull; M-1712@Mohenjo-daro/Bull; M-1720@Mohenjo-daro/Bull; L-65@Lothal/Bull; H-1052@Harappa/Bull
590,A08,InitialFiller,CrossFramePhoneticAnchor,0.761,6,Symbol,Bull,Moderate,0.755,Bull:6,Mohenjo-daro:2; Harappa:2; Allahdino:1; Chanhu-daro:1,Lower Indus:4; Inter-Riverine:2,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 590 occurrences with Bull; test emblem-linked reading,M-968@Mohenjo-daro/Bull; H-75@Harappa/Bull; M-998@Mohenjo-daro/Bull; H-1046@Harappa/Bull; Ad-1@Allahdino/Bull
002,A01,PreTerminalFiller,CrossFramePhoneticAnchor,0.647,2,SemanticFrame,ClassifierSlotTerminalFormula,Moderate,0.73,Unknown:1; Gavial:1,Mohenjo-daro:1; Kalibangan:1,Lower Indus:1; Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,collect more context for 002; keep phonetic value unassigned,M-1960@Mohenjo-daro/Unknown; K-157@Kalibangan/Gavial
004-407,R28-R12,TerminalFiller,CrossFramePhoneticAnchor,0.651,4,Material,Steatite,Moderate,0.64,Unknown:3; Bull:1,Mohenjo-daro:3; Harappa:1,Lower Indus:3; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,compare artifact function for 004-407 in Steatite; test administrative/object-class value,H-420@Harappa/Bull; M-1310@Mohenjo-daro/Unknown; M-1308@Mohenjo-daro/Unknown; M-1262@Mohenjo-daro/Unknown
803-740,A12-T01,TerminalFiller,CrossFramePhoneticAnchor,0.668,3,SemanticFrame,TerminalFormula,Moderate,0.623,Unknown:2; Bull:1,Mohenjo-daro:2; Harappa:1,Lower Indus:2; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 803-740; keep phonetic value unassigned,H-776@Harappa/Unknown; M-682@Mohenjo-daro/Unknown; M-1845@Mohenjo-daro/Bull
061-740,R29-T01,TerminalFiller,CrossFramePhoneticAnchor,0.61,3,SemanticFrame,ClassifierSlotTerminalFormula,Moderate,0.604,Bull:1; Unknown:1; Zebu:1,Mohenjo-daro:2; Harappa:1,Lower Indus:2; Inter-Riverine:1,title/suffix; terminal formula; object marker; administrative ending,collect more context for 061-740; keep phonetic value unassigned,M-322@Mohenjo-daro/Bull; H-1198@Harappa/Unknown; M-261@Mohenjo-daro/Zebu
001,A05,InitialFiller,CrossFramePhoneticAnchor,0.654,4,Site,Banawali,Moderate,0.596,Goat:3:1; Scene:1; Zebu:1; Unknown:1,Banawali:2; Mohenjo-daro:1; Nausharo:1,Eastern Headwaters:2; Lower Indus:2,classifier; title; office marker; prefix; regional formula marker,compare all 001 occurrences inside and outside Banawali; test regional/administrative value,-@Banawali/Goat:3; -@Banawali/Scene; M-1103@Mohenjo-daro/Zebu; Ns-70@Nausharo/Unknown
125,R05,InitialFiller,CrossFramePhoneticAnchor,0.643,3,Symbol,Bull,Moderate,0.594,Bull:3,Mohenjo-daro:2; Kalibangan:1,Lower Indus:2; Inter-Riverine:1,classifier; title; office marker; prefix; regional formula marker,inspect seal images for all 125 occurrences with Bull; test emblem-linked reading,M-320@Mohenjo-daro/Bull; M-878@Mohenjo-daro/Bull; K-5@Kalibangan/Bull
706-033-520,R09-A11-T02,TerminalFiller,CrossFramePhoneticAnchor,0.666,3,Symbol,Bull,Moderate,0.594,Bull:3,Harappa:2; Mohenjo-daro:1,Inter-Riverine:2; Lower Indus:1,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 706-033-520 occurrences with Bull; test emblem-linked reading,H-44@Harappa/Bull; H-456@Harappa/Bull; M-781@Mohenjo-daro/Bull
760-740,A16-T01,TerminalFiller,CrossFramePhoneticAnchor,0.64,3,Symbol,Bull,Moderate,0.594,Bull:3,Mohenjo-daro:2; Dholavira:1,Lower Indus:2; Gujarat/Kutch:1,title/suffix; terminal formula; object marker; administrative ending,inspect seal images for all 760-740 occurrences with Bull; test emblem-linked reading,-@Dholavira/Bull; M-707@Mohenjo-daro/Bull; M-758@Mohenjo-daro/Bull
